,lines,no_contractions,no_contractions_string,tokenized,lower,no_punctuations,stopwords_removed,pos_tags,lemmatized
15,"A true hero isn’t measured by the size of their strength, but by the strength of their heart.","['A', 'true', 'hero', 'is not', 'measured', 'by', 'the', 'size', 'of', 'their', 'strength,', 'but', 'by', 'the', 'strength', 'of', 'their', 'heart.']","A true hero is not measured by the size of their strength, but by the strength of their heart.","['A', 'true', 'hero', 'is', 'not', 'measured', 'by', 'the', 'size', 'of', 'their', 'strength', ',', 'but', 'by', 'the', 'strength', 'of', 'their', 'heart', '.']","['a', 'true', 'hero', 'is', 'not', 'measured', 'by', 'the', 'size', 'of', 'their', 'strength', ',', 'but', 'by', 'the', 'strength', 'of', 'their', 'heart', '.']","['a', 'true', 'hero', 'is', 'not', 'measured', 'by', 'the', 'size', 'of', 'their', 'strength', 'but', 'by', 'the', 'strength', 'of', 'their', 'heart']","['true', 'hero', 'measured', 'size', 'strength', 'strength', 'heart']","[('true', 'JJ'), ('hero', 'NN'), ('measured', 'VBD'), ('size', 'NN'), ('strength', 'NN'), ('strength', 'NN'), ('heart', 'NN')]","['true', 'hero', 'measured', 'size', 'strength', 'strength', 'heart']"
16,"Nature has been for me, for as long as I remember, a source of solace, inspiration, adventure, and delight; a home, a teacher, a companion.","['Nature', 'has', 'been', 'for', 'me,', 'for', 'as', 'long', 'as', 'I', 'remember,', 'a', 'source', 'of', 'solace,', 'inspiration,', 'adventure,', 'and', 'delight;', 'a', 'home,', 'a', 'teacher,', 'a', 'companion.']","Nature has been for me, for as long as I remember, a source of solace, inspiration, adventure, and delight; a home, a teacher, a companion.","['Nature', 'has', 'been', 'for', 'me', ',', 'for', 'as', 'long', 'as', 'I', 'remember', ',', 'a', 'source', 'of', 'solace', ',', 'inspiration', ',', 'adventure', ',', 'and', 'delight', ';', 'a', 'home', ',', 'a', 'teacher', ',', 'a', 'companion', '.']","['nature', 'has', 'been', 'for', 'me', ',', 'for', 'as', 'long', 'as', 'i', 'remember', ',', 'a', 'source', 'of', 'solace', ',', 'inspiration', ',', 'adventure', ',', 'and', 'delight', ';', 'a', 'home', ',', 'a', 'teacher', ',', 'a', 'companion', '.']","['nature', 'has', 'been', 'for', 'me', 'for', 'as', 'long', 'as', 'i', 'remember', 'a', 'source', 'of', 'solace', 'inspiration', 'adventure', 'and', 'delight', 'a', 'home', 'a', 'teacher', 'a', 'companion']","['nature', 'long', 'remember', 'source', 'solace', 'inspiration', 'adventure', 'delight', 'home', 'teacher', 'companion']","[('nature', 'NN'), ('long', 'JJ'), ('remember', 'NN'), ('source', 'NN'), ('solace', 'NN'), ('inspiration', 'NN'), ('adventure', 'NN'), ('delight', 'VBD'), ('home', 'NN'), ('teacher', 'NN'), ('companion', 'NN')]","['nature', 'long', 'remember', 'source', 'solace', 'inspiration', 'adventure', 'delight', 'home', 'teacher', 'companion']"
17,I took a walk in the woods and came out taller than the trees.,"['I', 'took', 'a', 'walk', 'in', 'the', 'woods', 'and', 'came', 'out', 'taller', 'than', 'the', 'trees.']",I took a walk in the woods and came out taller than the trees.,"['I', 'took', 'a', 'walk', 'in', 'the', 'woods', 'and', 'came', 'out', 'taller', 'than', 'the', 'trees', '.']","['i', 'took', 'a', 'walk', 'in', 'the', 'woods', 'and', 'came', 'out', 'taller', 'than', 'the', 'trees', '.']","['i', 'took', 'a', 'walk', 'in', 'the', 'woods', 'and', 'came', 'out', 'taller', 'than', 'the', 'trees']","['took', 'walk', 'woods', 'came', 'taller', 'trees']","[('took', 'VBD'), ('walk', 'NN'), ('woods', 'NNS'), ('came', 'VBD'), ('taller', 'NN'), ('trees', 'NNS')]","['took', 'walk', 'wood', 'came', 'taller', 'tree']"
18,"There is something infinitely healing in the repeated refrains of nature – the assurance that dawn comes after night, and spring after winter.","['There', 'is', 'something', 'infinitely', 'healing', 'in', 'the', 'repeated', 'refrains', 'of', 'nature', '–', 'the', 'assurance', 'that', 'dawn', 'comes', 'after', 'night,', 'and', 'spring', 'after', 'winter.']","There is something infinitely healing in the repeated refrains of nature – the assurance that dawn comes after night, and spring after winter.","['There', 'is', 'something', 'infinitely', 'healing', 'in', 'the', 'repeated', 'refrains', 'of', 'nature', '–', 'the', 'assurance', 'that', 'dawn', 'comes', 'after', 'night', ',', 'and', 'spring', 'after', 'winter', '.']","['there', 'is', 'something', 'infinitely', 'healing', 'in', 'the', 'repeated', 'refrains', 'of', 'nature', '–', 'the', 'assurance', 'that', 'dawn', 'comes', 'after', 'night', ',', 'and', 'spring', 'after', 'winter', '.']","['there', 'is', 'something', 'infinitely', 'healing', 'in', 'the', 'repeated', 'refrains', 'of', 'nature', '–', 'the', 'assurance', 'that', 'dawn', 'comes', 'after', 'night', 'and', 'spring', 'after', 'winter']","['something', 'infinitely', 'healing', 'repeated', 'refrains', 'nature', '–', 'assurance', 'dawn', 'comes', 'night', 'spring', 'winter']","[('something', 'NN'), ('infinitely', 'RB'), ('healing', 'VBG'), ('repeated', 'VBN'), ('refrains', 'NNS'), ('nature', 'JJ'), ('–', 'JJ'), ('assurance', 'NN'), ('dawn', 'NN'), ('comes', 'VBZ'), ('night', 'NN'), ('spring', 'NN'), ('winter', 'NN')]","['something', 'infinitely', 'healing', 'repeated', 'refrain', 'nature', '–', 'assurance', 'dawn', 'come', 'night', 'spring', 'winter']"
19,"A walk in nature, walks the soul back home.","['A', 'walk', 'in', 'nature,', 'walks', 'the', 'soul', 'back', 'home.']","A walk in nature, walks the soul back home.","['A', 'walk', 'in', 'nature', ',', 'walks', 'the', 'soul', 'back', 'home', '.']","['a', 'walk', 'in', 'nature', ',', 'walks', 'the', 'soul', 'back', 'home', '.']","['a', 'walk', 'in', 'nature', 'walks', 'the', 'soul', 'back', 'home']","['walk', 'nature', 'walks', 'soul', 'back', 'home']","[('walk', 'NN'), ('nature', 'NN'), ('walks', 'VBZ'), ('soul', 'VBP'), ('back', 'RB'), ('home', 'NN')]","['walk', 'nature', 'walk', 'soul', 'back', 'home']"
20,"I felt my lungs inflate with the onrush of scenery—air, mountains, trees, people. I thought, ‘This is what it is to be happy.’","['I', 'felt', 'my', 'lungs', 'inflate', 'with', 'the', 'onrush', 'of', 'scenery—air,', 'mountains,', 'trees,', 'people.', 'I', 'thought,', '‘This', 'is', 'what', 'it', 'is', 'to', 'be', 'happy.’']","I felt my lungs inflate with the onrush of scenery—air, mountains, trees, people. I thought, ‘This is what it is to be happy.’","['I', 'felt', 'my', 'lungs', 'inflate', 'with', 'the', 'onrush', 'of', 'scenery—air', ',', 'mountains', ',', 'trees', ',', 'people', '.', 'I', 'thought', ',', '‘', 'This', 'is', 'what', 'it', 'is', 'to', 'be', 'happy', '.', '’']","['i', 'felt', 'my', 'lungs', 'inflate', 'with', 'the', 'onrush', 'of', 'scenery—air', ',', 'mountains', ',', 'trees', ',', 'people', '.', 'i', 'thought', ',', '‘', 'this', 'is', 'what', 'it', 'is', 'to', 'be', 'happy', '.', '’']","['i', 'felt', 'my', 'lungs', 'inflate', 'with', 'the', 'onrush', 'of', 'scenery—air', 'mountains', 'trees', 'people', 'i', 'thought', '‘', 'this', 'is', 'what', 'it', 'is', 'to', 'be', 'happy', '’']","['felt', 'lungs', 'inflate', 'onrush', 'scenery—air', 'mountains', 'trees', 'people', 'thought', '‘', 'happy', '’']","[('felt', 'JJ'), ('lungs', 'NNS'), ('inflate', 'VBP'), ('onrush', 'JJ'), ('scenery—air', 'NN'), ('mountains', 'NNS'), ('trees', 'NNS'), ('people', 'NNS'), ('thought', 'VBD'), ('‘', 'NNPS'), ('happy', 'JJ'), ('’', 'NN')]","['felt', 'lung', 'inflate', 'onrush', 'scenery—air', 'mountain', 'tree', 'people', 'thought', '‘', 'happy', '’']"
21,It always seems impossible until its done.,"['It', 'always', 'seems', 'impossible', 'until', 'its', 'done.']",It always seems impossible until its done.,"['It', 'always', 'seems', 'impossible', 'until', 'its', 'done', '.']","['it', 'always', 'seems', 'impossible', 'until', 'its', 'done', '.']","['it', 'always', 'seems', 'impossible', 'until', 'its', 'done']","['always', 'seems', 'impossible', 'done']","[('always', 'RB'), ('seems', 'VBZ'), ('impossible', 'JJ'), ('done', 'VBN')]","['always', 'seems', 'impossible', 'done']"
22,Great things come from hard work and perseverance. No excuses.,"['Great', 'things', 'come', 'from', 'hard', 'work', 'and', 'perseverance.', 'No', 'excuses.']",Great things come from hard work and perseverance. No excuses.,"['Great', 'things', 'come', 'from', 'hard', 'work', 'and', 'perseverance', '.', 'No', 'excuses', '.']","['great', 'things', 'come', 'from', 'hard', 'work', 'and', 'perseverance', '.', 'no', 'excuses', '.']","['great', 'things', 'come', 'from', 'hard', 'work', 'and', 'perseverance', 'no', 'excuses']","['great', 'things', 'come', 'hard', 'work', 'perseverance', 'excuses']","[('great', 'JJ'), ('things', 'NNS'), ('come', 'VBP'), ('hard', 'JJ'), ('work', 'NN'), ('perseverance', 'NN'), ('excuses', 'NNS')]","['great', 'thing', 'come', 'hard', 'work', 'perseverance', 'excuse']"
23,Patience and perseverance have a magical effect before which difficulties disappear and obstacles vanish.,"['Patience', 'and', 'perseverance', 'have', 'a', 'magical', 'effect', 'before', 'which', 'difficulties', 'disappear', 'and', 'obstacles', 'vanish.']",Patience and perseverance have a magical effect before which difficulties disappear and obstacles vanish.,"['Patience', 'and', 'perseverance', 'have', 'a', 'magical', 'effect', 'before', 'which', 'difficulties', 'disappear', 'and', 'obstacles', 'vanish', '.']","['patience', 'and', 'perseverance', 'have', 'a', 'magical', 'effect', 'before', 'which', 'difficulties', 'disappear', 'and', 'obstacles', 'vanish', '.']","['patience', 'and', 'perseverance', 'have', 'a', 'magical', 'effect', 'before', 'which', 'difficulties', 'disappear', 'and', 'obstacles', 'vanish']","['patience', 'perseverance', 'magical', 'effect', 'difficulties', 'disappear', 'obstacles', 'vanish']","[('patience', 'NN'), ('perseverance', 'NN'), ('magical', 'JJ'), ('effect', 'NN'), ('difficulties', 'NNS'), ('disappear', 'VBP'), ('obstacles', 'NNS'), ('vanish', 'VB')]","['patience', 'perseverance', 'magical', 'effect', 'difficulty', 'disappear', 'obstacle', 'vanish']"
24,"Today if anything is trying to hold you back, give no attention to it. Get your hopes up, get your faith up, look up, and get ready to rise up.","['Today', 'if', 'anything', 'is', 'trying', 'to', 'hold', 'you', 'back,', 'give', 'no', 'attention', 'to', 'it.', 'Get', 'your', 'hopes', 'up,', 'get', 'your', 'faith', 'up,', 'look', 'up,', 'and', 'get', 'ready', 'to', 'rise', 'up.']","Today if anything is trying to hold you back, give no attention to it. Get your hopes up, get your faith up, look up, and get ready to rise up.","['Today', 'if', 'anything', 'is', 'trying', 'to', 'hold', 'you', 'back', ',', 'give', 'no', 'attention', 'to', 'it', '.', 'Get', 'your', 'hopes', 'up', ',', 'get', 'your', 'faith', 'up', ',', 'look', 'up', ',', 'and', 'get', 'ready', 'to', 'rise', 'up', '.']","['today', 'if', 'anything', 'is', 'trying', 'to', 'hold', 'you', 'back', ',', 'give', 'no', 'attention', 'to', 'it', '.', 'get', 'your', 'hopes', 'up', ',', 'get', 'your', 'faith', 'up', ',', 'look', 'up', ',', 'and', 'get', 'ready', 'to', 'rise', 'up', '.']","['today', 'if', 'anything', 'is', 'trying', 'to', 'hold', 'you', 'back', 'give', 'no', 'attention', 'to', 'it', 'get', 'your', 'hopes', 'up', 'get', 'your', 'faith', 'up', 'look', 'up', 'and', 'get', 'ready', 'to', 'rise', 'up']","['today', 'anything', 'trying', 'hold', 'back', 'give', 'attention', 'get', 'hopes', 'get', 'faith', 'look', 'get', 'ready', 'rise']","[('today', 'NN'), ('anything', 'NN'), ('trying', 'VBG'), ('hold', 'VB'), ('back', 'RB'), ('give', 'JJ'), ('attention', 'NN'), ('get', 'VB'), ('hopes', 'NNS'), ('get', 'VB'), ('faith', 'JJ'), ('look', 'NN'), ('get', 'VBP'), ('ready', 'JJ'), ('rise', 'NN')]","['today', 'anything', 'trying', 'hold', 'back', 'give', 'attention', 'get', 'hope', 'get', 'faith', 'look', 'get', 'ready', 'rise']"
25,I think a hero is an ordinary individual who finds strength to persevere and endure in spite of overwhelming obstacles.,"['I', 'think', 'a', 'hero', 'is', 'an', 'ordinary', 'individual', 'who', 'finds', 'strength', 'to', 'persevere', 'and', 'endure', 'in', 'spite', 'of', 'overwhelming', 'obstacles.']",I think a hero is an ordinary individual who finds strength to persevere and endure in spite of overwhelming obstacles.,"['I', 'think', 'a', 'hero', 'is', 'an', 'ordinary', 'individual', 'who', 'finds', 'strength', 'to', 'persevere', 'and', 'endure', 'in', 'spite', 'of', 'overwhelming', 'obstacles', '.']","['i', 'think', 'a', 'hero', 'is', 'an', 'ordinary', 'individual', 'who', 'finds', 'strength', 'to', 'persevere', 'and', 'endure', 'in', 'spite', 'of', 'overwhelming', 'obstacles', '.']","['i', 'think', 'a', 'hero', 'is', 'an', 'ordinary', 'individual', 'who', 'finds', 'strength', 'to', 'persevere', 'and', 'endure', 'in', 'spite', 'of', 'overwhelming', 'obstacles']","['think', 'hero', 'ordinary', 'individual', 'finds', 'strength', 'persevere', 'endure', 'spite', 'overwhelming', 'obstacles']","[('think', 'NN'), ('hero', 'NN'), ('ordinary', 'JJ'), ('individual', 'JJ'), ('finds', 'NNS'), ('strength', 'NN'), ('persevere', 'RB'), ('endure', 'JJ'), ('spite', 'JJ'), ('overwhelming', 'NN'), ('obstacles', 'NNS')]","['think', 'hero', 'ordinary', 'individual', 'find', 'strength', 'persevere', 'endure', 'spite', 'overwhelming', 'obstacle']"
26,"A smile starts on the lips, A grin spreads to the eyes, A chuckle comes from the belly; But a good laugh bursts forth from the soul, Overflows, and bubbles all around.","['A', 'smile', 'starts', 'on', 'the', 'lips,', 'A', 'grin', 'spreads', 'to', 'the', 'eyes,', 'A', 'chuckle', 'comes', 'from', 'the', 'belly;', 'But', 'a', 'good', 'laugh', 'bursts', 'forth', 'from', 'the', 'soul,', 'Overflows,', 'and', 'bubbles', 'all', 'around.']","A smile starts on the lips, A grin spreads to the eyes, A chuckle comes from the belly; But a good laugh bursts forth from the soul, Overflows, and bubbles all around.","['A', 'smile', 'starts', 'on', 'the', 'lips', ',', 'A', 'grin', 'spreads', 'to', 'the', 'eyes', ',', 'A', 'chuckle', 'comes', 'from', 'the', 'belly', ';', 'But', 'a', 'good', 'laugh', 'bursts', 'forth', 'from', 'the', 'soul', ',', 'Overflows', ',', 'and', 'bubbles', 'all', 'around', '.']","['a', 'smile', 'starts', 'on', 'the', 'lips', ',', 'a', 'grin', 'spreads', 'to', 'the', 'eyes', ',', 'a', 'chuckle', 'comes', 'from', 'the', 'belly', ';', 'but', 'a', 'good', 'laugh', 'bursts', 'forth', 'from', 'the', 'soul', ',', 'overflows', ',', 'and', 'bubbles', 'all', 'around', '.']","['a', 'smile', 'starts', 'on', 'the', 'lips', 'a', 'grin', 'spreads', 'to', 'the', 'eyes', 'a', 'chuckle', 'comes', 'from', 'the', 'belly', 'but', 'a', 'good', 'laugh', 'bursts', 'forth', 'from', 'the', 'soul', 'overflows', 'and', 'bubbles', 'all', 'around']","['smile', 'starts', 'lips', 'grin', 'spreads', 'eyes', 'chuckle', 'comes', 'belly', 'good', 'laugh', 'bursts', 'forth', 'soul', 'overflows', 'bubbles', 'around']","[('smile', 'NN'), ('starts', 'VBZ'), ('lips', 'NNS'), ('grin', 'JJ'), ('spreads', 'NNS'), ('eyes', 'NNS'), ('chuckle', 'VBP'), ('comes', 'VBZ'), ('belly', 'RB'), ('good', 'JJ'), ('laugh', 'NN'), ('bursts', 'NNS'), ('forth', 'VBP'), ('soul', 'JJ'), ('overflows', 'NNS'), ('bubbles', 'NNS'), ('around', 'IN')]","['smile', 'start', 'lip', 'grin', 'spread', 'eye', 'chuckle', 'come', 'belly', 'good', 'laugh', 'burst', 'forth', 'soul', 'overflow', 'bubble', 'around']"
27,"In this world, a good time to laugh is any time you can. ","['In', 'this', 'world,', 'a', 'good', 'time', 'to', 'laugh', 'is', 'any', 'time', 'you', 'can.']","In this world, a good time to laugh is any time you can.","['In', 'this', 'world', ',', 'a', 'good', 'time', 'to', 'laugh', 'is', 'any', 'time', 'you', 'can', '.']","['in', 'this', 'world', ',', 'a', 'good', 'time', 'to', 'laugh', 'is', 'any', 'time', 'you', 'can', '.']","['in', 'this', 'world', 'a', 'good', 'time', 'to', 'laugh', 'is', 'any', 'time', 'you', 'can']","['world', 'good', 'time', 'laugh', 'time']","[('world', 'NN'), ('good', 'JJ'), ('time', 'NN'), ('laugh', 'JJ'), ('time', 'NN')]","['world', 'good', 'time', 'laugh', 'time']"
28,To thrive in life you need three bones. A wishbone. A backbone. And a funny bone.,"['To', 'thrive', 'in', 'life', 'you', 'need', 'three', 'bones.', 'A', 'wishbone.', 'A', 'backbone.', 'And', 'a', 'funny', 'bone.']",To thrive in life you need three bones. A wishbone. A backbone. And a funny bone.,"['To', 'thrive', 'in', 'life', 'you', 'need', 'three', 'bones', '.', 'A', 'wishbone', '.', 'A', 'backbone', '.', 'And', 'a', 'funny', 'bone', '.']","['to', 'thrive', 'in', 'life', 'you', 'need', 'three', 'bones', '.', 'a', 'wishbone', '.', 'a', 'backbone', '.', 'and', 'a', 'funny', 'bone', '.']","['to', 'thrive', 'in', 'life', 'you', 'need', 'three', 'bones', 'a', 'wishbone', 'a', 'backbone', 'and', 'a', 'funny', 'bone']","['thrive', 'life', 'need', 'three', 'bones', 'wishbone', 'backbone', 'funny', 'bone']","[('thrive', 'JJ'), ('life', 'NN'), ('need', 'VBP'), ('three', 'CD'), ('bones', 'NNS'), ('wishbone', 'CD'), ('backbone', 'NN'), ('funny', 'JJ'), ('bone', 'NN')]","['thrive', 'life', 'need', 'three', 'bone', 'wishbone', 'backbone', 'funny', 'bone']"
29,"What soap is to the body, laughter is to the soul.","['What', 'soap', 'is', 'to', 'the', 'body,', 'laughter', 'is', 'to', 'the', 'soul.']","What soap is to the body, laughter is to the soul.","['What', 'soap', 'is', 'to', 'the', 'body', ',', 'laughter', 'is', 'to', 'the', 'soul', '.']","['what', 'soap', 'is', 'to', 'the', 'body', ',', 'laughter', 'is', 'to', 'the', 'soul', '.']","['what', 'soap', 'is', 'to', 'the', 'body', 'laughter', 'is', 'to', 'the', 'soul']","['soap', 'body', 'laughter', 'soul']","[('soap', 'NN'), ('body', 'NN'), ('laughter', 'NN'), ('soul', 'NN')]","['soap', 'body', 'laughter', 'soul']"
30,"I honestly think it's the thing I like most, to laugh. It cures a multitude of ills. It's probably the most important thing in a person.","['I', 'honestly', 'think', 'it is', 'the', 'thing', 'I', 'like', 'most,', 'to', 'laugh.', 'It', 'cures', 'a', 'multitude', 'of', 'ills.', 'it is', 'probably', 'the', 'most', 'important', 'thing', 'in', 'a', 'person.']","I honestly think it is the thing I like most, to laugh. It cures a multitude of ills. it is probably the most important thing in a person.","['I', 'honestly', 'think', 'it', 'is', 'the', 'thing', 'I', 'like', 'most', ',', 'to', 'laugh', '.', 'It', 'cures', 'a', 'multitude', 'of', 'ills', '.', 'it', 'is', 'probably', 'the', 'most', 'important', 'thing', 'in', 'a', 'person', '.']","['i', 'honestly', 'think', 'it', 'is', 'the', 'thing', 'i', 'like', 'most', ',', 'to', 'laugh', '.', 'it', 'cures', 'a', 'multitude', 'of', 'ills', '.', 'it', 'is', 'probably', 'the', 'most', 'important', 'thing', 'in', 'a', 'person', '.']","['i', 'honestly', 'think', 'it', 'is', 'the', 'thing', 'i', 'like', 'most', 'to', 'laugh', 'it', 'cures', 'a', 'multitude', 'of', 'ills', 'it', 'is', 'probably', 'the', 'most', 'important', 'thing', 'in', 'a', 'person']","['honestly', 'think', 'thing', 'like', 'laugh', 'cures', 'multitude', 'ills', 'probably', 'important', 'thing', 'person']","[('honestly', 'RB'), ('think', 'VBP'), ('thing', 'NN'), ('like', 'IN'), ('laugh', 'NN'), ('cures', 'NNS'), ('multitude', 'VBP'), ('ills', 'NNS'), ('probably', 'RB'), ('important', 'JJ'), ('thing', 'NN'), ('person', 'NN')]","['honestly', 'think', 'thing', 'like', 'laugh', 'cure', 'multitude', 'ill', 'probably', 'important', 'thing', 'person']"
31,Good character is the single most important attribute of a successful and worthy life.,"['Good', 'character', 'is', 'the', 'single', 'most', 'important', 'attribute', 'of', 'a', 'successful', 'and', 'worthy', 'life.']",Good character is the single most important attribute of a successful and worthy life.,"['Good', 'character', 'is', 'the', 'single', 'most', 'important', 'attribute', 'of', 'a', 'successful', 'and', 'worthy', 'life', '.']","['good', 'character', 'is', 'the', 'single', 'most', 'important', 'attribute', 'of', 'a', 'successful', 'and', 'worthy', 'life', '.']","['good', 'character', 'is', 'the', 'single', 'most', 'important', 'attribute', 'of', 'a', 'successful', 'and', 'worthy', 'life']","['good', 'character', 'single', 'important', 'attribute', 'successful', 'worthy', 'life']","[('good', 'JJ'), ('character', 'NN'), ('single', 'JJ'), ('important', 'JJ'), ('attribute', 'NN'), ('successful', 'JJ'), ('worthy', 'JJ'), ('life', 'NN')]","['good', 'character', 'single', 'important', 'attribute', 'successful', 'worthy', 'life']"
